,function,gpus,n_parameters,prediction_type,epoch_size,best_step,time,chunk_size,eval_batch_size,config.seed,config.batch_size,config.patience,config.n_epochs,config.gradient_clipping_norm,config.amp,config.data.cache,config.data.path,config.data.num_policy,config.data.cat_policy,config.optimizer.type,config.optimizer.lr,config.optimizer.weight_decay,config.model.arch_type,config.model.backbone.k,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.model.backbone.moe_ratio,config.model.backbone.num_experts,metrics.train.rmse,metrics.train.mae,metrics.train.r2,metrics.train.score,metrics.val.rmse,metrics.val.mae,metrics.val.r2,metrics.val.score,metrics.test.rmse,metrics.test.mae,metrics.test.r2,metrics.test.score,metrics.train.0.precision,metrics.train.0.recall,metrics.train.0.f1-score,metrics.train.0.support,metrics.train.1.precision,metrics.train.1.recall,metrics.train.1.f1-score,metrics.train.1.support,metrics.train.accuracy,metrics.train.macro avg.precision,metrics.train.macro avg.recall,metrics.train.macro avg.f1-score,metrics.train.macro avg.support,metrics.train.weighted avg.precision,metrics.train.weighted avg.recall,metrics.train.weighted avg.f1-score,metrics.train.weighted avg.support,metrics.train.cross-entropy,metrics.train.roc-auc,metrics.val.0.precision,metrics.val.0.recall,metrics.val.0.f1-score,metrics.val.0.support,metrics.val.1.precision,metrics.val.1.recall,metrics.val.1.f1-score,metrics.val.1.support,metrics.val.accuracy,metrics.val.macro avg.precision,metrics.val.macro avg.recall,metrics.val.macro avg.f1-score,metrics.val.macro avg.support,metrics.val.weighted avg.precision,metrics.val.weighted avg.recall,metrics.val.weighted avg.f1-score,metrics.val.weighted avg.support,metrics.val.cross-entropy,metrics.val.roc-auc,metrics.test.0.precision,metrics.test.0.recall,metrics.test.0.f1-score,metrics.test.0.support,metrics.test.1.precision,metrics.test.1.recall,metrics.test.1.f1-score,metrics.test.1.support,metrics.test.accuracy,metrics.test.macro avg.precision,metrics.test.macro avg.recall,metrics.test.macro avg.f1-score,metrics.test.macro avg.support,metrics.test.weighted avg.precision,metrics.test.weighted avg.recall,metrics.test.weighted avg.f1-score,metrics.test.weighted avg.support,metrics.test.cross-entropy,metrics.test.roc-auc,metrics.train.2.precision,metrics.train.2.recall,metrics.train.2.f1-score,metrics.train.2.support,metrics.train.3.precision,metrics.train.3.recall,metrics.train.3.f1-score,metrics.train.3.support,metrics.train.4.precision,metrics.train.4.recall,metrics.train.4.f1-score,metrics.train.4.support,metrics.train.5.precision,metrics.train.5.recall,metrics.train.5.f1-score,metrics.train.5.support,metrics.train.6.precision,metrics.train.6.recall,metrics.train.6.f1-score,metrics.train.6.support,metrics.val.2.precision,metrics.val.2.recall,metrics.val.2.f1-score,metrics.val.2.support,metrics.val.3.precision,metrics.val.3.recall,metrics.val.3.f1-score,metrics.val.3.support,metrics.val.4.precision,metrics.val.4.recall,metrics.val.4.f1-score,metrics.val.4.support,metrics.val.5.precision,metrics.val.5.recall,metrics.val.5.f1-score,metrics.val.5.support,metrics.val.6.precision,metrics.val.6.recall,metrics.val.6.f1-score,metrics.val.6.support,metrics.test.2.precision,metrics.test.2.recall,metrics.test.2.f1-score,metrics.test.2.support,metrics.test.3.precision,metrics.test.3.recall,metrics.test.3.f1-score,metrics.test.3.support,metrics.test.4.precision,metrics.test.4.recall,metrics.test.4.f1-score,metrics.test.4.support,metrics.test.5.precision,metrics.test.5.recall,metrics.test.5.f1-score,metrics.test.5.support,metrics.test.6.precision,metrics.test.6.recall,metrics.test.6.f1-score,metrics.test.6.support,Dataset
10,bin.model.main,['NVIDIA GeForce RTX 4090'],15790657,labels,68,3604,0:01:21.776596,,32768,0,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0002098564193694884,0.0,moe-mlp,10,4,496,0.0,0.5,16,0.1186207701820299,0.06297190487384796,0.9858626795323552,-0.1186207701820299,0.13510914571563298,0.07144376635551453,0.9821685471647771,-0.13510914571563298,0.13746581329908278,0.07119809836149216,0.9810272671813647,-0.13746581329908278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
11,bin.model.main,['NVIDIA GeForce RTX 4090'],15790657,labels,68,2448,0:01:01.750617,,32768,13,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0002098564193694884,0.0,moe-mlp,10,4,496,0.0,0.5,16,0.12808440949464225,0.07223369181156158,0.9835169271001898,-0.12808440949464225,0.13986758396629656,0.07755106687545776,0.9808904090147044,-0.13986758396629656,0.14423410697583988,0.07821603119373322,0.9791129833053912,-0.14423410697583988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
12,bin.model.main,['NVIDIA GeForce RTX 4090'],15790657,labels,68,3468,0:01:22.317781,,32768,1,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0002098564193694884,0.0,moe-mlp,10,4,496,0.0,0.5,16,0.11921196115170399,0.06493144482374191,0.9857214103720111,-0.11921196115170399,0.13835131841990533,0.0735611617565155,0.9813024848740187,-0.13835131841990533,0.1412193137569364,0.07350590080022812,0.979977020860421,-0.1412193137569364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
13,bin.model.main,['NVIDIA GeForce RTX 4090'],15790657,labels,68,3808,0:01:21.835308,,32768,9,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0002098564193694884,0.0,moe-mlp,10,4,496,0.0,0.5,16,0.11925989184798733,0.06800180673599243,0.9857099267965882,-0.11925989184798733,0.1402372471507294,0.07671959698200226,0.9807892644391472,-0.1402372471507294,0.13894462626032775,0.07634802162647247,0.9806168670627102,-0.13894462626032775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
14,bin.model.main,['NVIDIA GeForce RTX 4090'],15790657,labels,68,3332,0:01:16.545190,,32768,4,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.0002098564193694884,0.0,moe-mlp,10,4,496,0.0,0.5,16,0.11990297802329988,0.06426241248846054,0.9855553975376538,-0.11990297802329988,0.13666423664486443,0.07100998610258102,0.9817557085109836,-0.13666423664486443,0.13909630900239967,0.07102303206920624,0.9805745229832491,-0.13909630900239967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
15,bin.model.main,['NVIDIA GeForce RTX 4090'],39407761,labels,209,3135,0:01:55.560893,,32768,7,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.00013865929918426315,0.0,moe-mlp,10,4,784,0.06009828060658445,0.5,16,0.6764774154479549,0.5251437425613403,0.5416024540492317,-0.6764774154479549,0.6959418117079585,0.5401135683059692,0.5142861123525754,-0.6959418117079585,0.6960679996749662,0.5408036112785339,0.5191477213701483,-0.6960679996749662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
16,bin.model.main,['NVIDIA GeForce RTX 4090'],39407761,labels,209,5016,0:02:27.198859,,32768,6,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.00013865929918426315,0.0,moe-mlp,10,4,784,0.06009828060658445,0.5,16,0.6616672176035293,0.5128315091133118,0.561454256103519,-0.6616672176035293,0.6971423683964637,0.5398890972137451,0.512608826505166,-0.6971423683964637,0.6993146649432067,0.542301595211029,0.5146516227826721,-0.6993146649432067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
17,bin.model.main,['NVIDIA GeForce RTX 4090'],39407761,labels,209,5852,0:02:47.058272,,32768,5,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.00013865929918426315,0.0,moe-mlp,10,4,784,0.06009828060658445,0.5,16,0.6635745106767317,0.5133450031280518,0.5589223051470803,-0.6635745106767317,0.6958414487498747,0.5378995537757874,0.5144261322438897,-0.6958414487498747,0.6980833286358108,0.5399300456047058,0.5163592544481227,-0.6980833286358108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
18,bin.model.main,['NVIDIA GeForce RTX 4090'],39407761,labels,209,4807,0:02:25.768346,,32768,11,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.00013865929918426315,0.0,moe-mlp,10,4,784,0.06009828060658445,0.5,16,0.662631456360579,0.5128987431526184,0.5601751468926647,-0.662631456360579,0.696812821937245,0.5386984944343567,0.5130695272436954,-0.696812821937245,0.6969521295946391,0.5393345355987549,0.5179254212228883,-0.6969521295946391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
19,bin.model.main,['NVIDIA GeForce RTX 4090'],39407761,labels,209,5016,0:02:29.249950,,32768,2,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.00013865929918426315,0.0,moe-mlp,10,4,784,0.06009828060658445,0.5,16,0.6621497712991952,0.5110375881195068,0.5608144150273711,-0.6621497712991952,0.6953921111746381,0.5356740355491638,0.5150531032271467,-0.6953921111746381,0.6960614275037338,0.537148654460907,0.5191568084649723,-0.6960614275037338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
