,0
TabMmini-piecewiselinear,4.166666666666667
TabM,7.666666666666667
TabMmini,7.666666666666667
TabM-greedy,8.666666666666666
TabM-batch-shared,9.0
MLP-periodic−lite,9.666666666666666
TabR-periodic,9.666666666666666
MLP-periodic,10.5
Trompt,11.333333333333334
MLP-piecewiselinear,11.333333333333334
MNCA-periodic,12.0
CatBoost,12.333333333333334
TabR,13.166666666666666
XGBoost,14.166666666666666
MNCA,14.666666666666666
SAINT,15.5
LightGBM,15.666666666666666
T2G,16.166666666666668
MLP-Mixer,16.333333333333332
FT-T,17.666666666666668
Excel-plugins,17.833333333333332
AutoInt,19.833333333333332
tabrmv2-piecewiselinear,20.5
tabrmv4-mini-periodic,21.0
tabrmv4-shared-periodic,21.333333333333332
ResNet,21.833333333333332
MLP,22.0
SNN,27.166666666666668
DCN2,28.0
moe-sparse-piecewiselinear,31.5
moe-mini-sparse-shared-piecewiselinear,32.5
tabrmv3-mini-periodic,32.833333333333336
tabrmoev4-periodic,33.5
tabrmoev4-drop-periodic,34.0
tabrmoev3-periodic,35.0
