,0
TabMmini-piecewiselinear,3.0
MNCA-periodic,5.4286
TabM,5.8571
MLP-piecewiselinear,6.2857
TabR-periodic,6.5714
XGBoost,6.6429
CatBoost,7.0
MNCA,8.0714
TabR,8.0714
LightGBM,8.0714
T2G,8.7857
SAINT,8.9286
FT-T,9.7143
tabrmv2-mini-periodic,9.9286
Excel-plugins,10.3571
MLP,11.7857
