method,0
tabm-piecewiselinear,1.5
tabm-mini-piecewiselinear,1.6666666666666667
taba-k128-piecewiselinear,2.2222222222222223
CatBoost,2.388888888888889
tabm,2.388888888888889
MNCA-periodic,2.388888888888889
TabR-periodic,2.5555555555555554
MLP-piecewiselinear,2.7222222222222223
XGBoost,2.8333333333333335
LightGBM,2.8333333333333335
MNCA,3.0555555555555554
T2G,3.2222222222222223
TabR,3.2777777777777777
FT-T,3.2777777777777777
SAINT,3.3333333333333335
Excel-plugins,3.888888888888889
MLP,4.055555555555555
