,0
TabR-periodic,1.0
Excel-plugins,2.0
MNCA-periodic,3.0
TabMmini-piecewiselinear,3.0
TabM,5.0
XGBoost,5.0
SAINT,7.0
Trompt,8.0
LightGBM,8.0
TabR,10.0
MNCA,11.0
FT-T,12.0
MLP-Mixer,13.0
CatBoost,14.0
tabrmoev4-periodic,15.0
MLP,16.0
ResNet,17.0
