,0
TabMmini-piecewiselinear,2.5
TabM,4.5
T2G,5.75
MLP-piecewiselinear,6.25
XGBoost,6.75
SAINT,7.25
FT-T,8.25
CatBoost,8.25
Excel-plugins,8.5
MNCA-periodic,8.5
LightGBM,9.25
TabR-periodic,9.25
MNCA,11.5
MLP,12.0
TabR,13.0
tabrmoev4-drop-periodic,13.5
