,0
 TabMmini-piecewiselinear,3.783
TabM,6.522
TabMmini,7.522
TabM-greedy,7.848
TabM-batch-shared,8.652
MNCA-periodic,9.087
TabR-periodic,9.565
CatBoost,9.848
MLP-periodic,10.891
XGBoost,11.217
MLP-piecewiselinear,11.348
LightGBM,11.478
MNCA,12.043
MLP-periodic−lite,12.5
T2G,12.522
TabR,13.196
Trompt,13.522
FT-T,15.196
SAINT,16.0
Excel-plugins,17.826
MLP-Mixer,18.543
MLP,18.63
AutoInt,20.283
ResNet,20.478
SNN,21.217
DCN2,22.022
TabPFN,25.478
