method,0
tabm-piecewiselinear,1.411764705882353
tabm-mini-piecewiselinear,1.588235294117647
tabm,2.1176470588235294
CatBoost,2.411764705882353
MNCA-periodic,2.411764705882353
MLP-piecewiselinear,2.4705882352941178
TabR-periodic,2.5294117647058822
LightGBM,2.823529411764706
XGBoost,2.8823529411764706
T2G,2.9411764705882355
FT-T,2.9411764705882355
MNCA,2.9411764705882355
TabR,3.1176470588235294
SAINT,3.1176470588235294
taba-moe-piecewiselinear,3.2941176470588234
MLP,3.764705882352941
Excel-plugins,3.764705882352941
