,0
TabMmini-piecewiselinear,3.7777777777777777
TabR-periodic,5.888888888888889
MNCA-periodic,7.333333333333333
TabMmini,7.777777777777778
TabM-greedy,8.88888888888889
TabM,8.88888888888889
TabM-batch-shared,9.88888888888889
MLP-periodic,10.0
XGBoost,10.444444444444445
LightGBM,10.777777777777779
MLP-periodic−lite,11.222222222222221
MNCA,11.555555555555555
CatBoost,11.666666666666666
TabR,12.222222222222221
MLP-piecewiselinear,14.333333333333334
T2G,15.777777777777779
tabrmv2-piecewiselinear,18.333333333333332
tabrm-piecewiselinear,18.77777777777778
tabrmv2-periodic,19.11111111111111
Trompt,19.11111111111111
Excel-plugins,19.444444444444443
FT-T,19.555555555555557
SAINT,20.444444444444443
MLP-Mixer,22.11111111111111
ResNet,22.11111111111111
AutoInt,23.0
tabrmv2-mini-periodic,23.444444444444443
MLP,23.88888888888889
DCN2,26.555555555555557
SNN,27.11111111111111
