,0
TabMmini-piecewiselinear,2.8889
MNCA-periodic,6.2222
TabR-periodic,6.4444
TabM,6.8889
MLP-piecewiselinear,7.0
XGBoost,7.2222
CatBoost,7.3333
TabR,8.1111
LightGBM,8.4444
MNCA,8.8889
SAINT,9.4444
T2G,9.5556
Excel-plugins,10.6667
FT-T,10.7778
tabrmv4-mini-periodic,12.1111
MLP,12.5556
