,0
TabMmini-piecewiselinear,4.0
TabM,5.1111
TabR-periodic,6.3333
CatBoost,6.6667
MNCA-periodic,6.8889
MLP-piecewiselinear,8.0
TabR,8.1111
MNCA,8.3333
XGBoost,8.3333
tabr-pln-periodic,9.3333
LightGBM,9.4444
T2G,9.6667
SAINT,9.8889
FT-T,10.4444
Excel-plugins,11.6667
MLP,13.1111
