,0
TabMmini-piecewiselinear,2.8667
TabM,5.9333
MNCA-periodic,6.3333
TabR-periodic,6.4
MLP-piecewiselinear,6.4667
XGBoost,7.4
CatBoost,7.8
TabR,8.5333
LightGBM,8.6667
T2G,9.0
MNCA,9.2
SAINT,9.4
FT-T,10.5333
Excel-plugins,10.8667
tabrmv2-piecewiselinear,11.3333
MLP,12.7333
