,dataset,direction,moe-sparse-piecewiselinear,moe-mini-sparse-shared-piecewiselinear,tabrm-piecewiselinear,tabrmv2-piecewiselinear,tabrmv2-periodic,tabrmv2-mini-periodic,tabrmv3-mini-periodic,tabrmoev3-periodic,MLP,ResNet,Trompt,MLP-Mixer,Excel-plugins,SAINT,FT-T,XGBoost,LightGBM,CatBoost,TabR,TabR-periodic,MNCA,MNCA-periodic,TabM,TabMmini-piecewiselinear
0,churn,higher_is_better,0.8586333333333334,0.8554333333333334,0.8534333333333334,0.8623999999999999,0.8608,0.8601333333333334,0.8447666666666667,0.8137666666666666,0.8553,0.8545,0.86,0.8592,0.8618,0.8603,0.8593,0.8605,0.86,0.8582,0.8599,0.8625,0.8595,0.8606,0.8605,0.8606
1,california,lower_is_better,0.4681699545404791,0.46327564135009425,0.46036030551394286,0.4565206796578257,0.4633946201656226,0.4649491771157796,,,0.4948,0.4915,0.4579,0.4746,0.4544,0.468,0.4635,0.4327,0.4352,0.4294,0.403,0.3998,0.4239,0.4142,0.4414,0.4275
2,house,lower_is_better,3.241209738128296,3.233692163180149,3.1844195618969318,3.1891795630507045,3.201442763355646,3.086619305101329,,,3.1117,3.1143,3.0638,3.1871,3.246,3.2424,3.1823,3.1773,3.1774,3.1172,3.0667,3.1048,3.0884,3.0704,3.0038,2.9976
3,adult,higher_is_better,0.8638126241221874,0.863710255307823,0.8640009827406179,0.8628257887517147,0.8675470384702005,0.8673218270785987,,,0.854,0.8554,0.859,0.8598,0.8613,0.8601,0.8588,0.872,0.8713,0.8714,0.8646,0.8699,0.8677,0.8717,0.8575,0.87
4,diamond,lower_is_better,0.1339928716103685,0.13487352187641305,0.13612142590892812,0.13569369727933778,0.1370770590714958,,,,0.1404,0.1396,0.1391,0.14,0.1766,0.1369,0.1376,0.1368,0.1359,0.1335,0.1327,0.1333,0.137,0.1327,0.131,0.1315
6,higgs-small,higher_is_better,0.7225429202787693,0.7171035186129526,0.7224783273839878,0.7172361040285569,0.7249974502804691,,,,0.718,0.7256,0.7262,0.7248,0.7262,0.7236,0.7281,0.7246,0.7256,0.726,0.7223,0.7294,0.7263,0.73,0.7394,0.7361
7,black-friday,lower_is_better,0.6906071767645148,0.6878527131016696,0.6881141943978917,0.6857615228213477,0.6864412081309698,,,,0.6955,0.6929,0.6983,0.6905,0.6947,0.6934,0.6987,0.6806,0.6799,0.6822,0.6899,0.6761,0.6893,0.6885,0.6869,0.6781
19,bank-marketing,higher_is_better,,,,0.7933293329332932,0.7988898889888989,0.7976297629762976,,,0.786,0.7921,0.7975,0.7954,0.7957,0.7953,0.7918,0.8013,0.8006,0.8026,0.7995,0.8023,0.7961,0.7977,0.7944,0.7989
21,MagicTelescope,higher_is_better,,,,0.8359114274416766,0.8607591933570581,0.8642151047844998,,,0.8539,0.8589,0.8605,0.8571,0.848,0.8595,0.8588,0.855,0.8547,0.8586,0.8682,0.8641,0.8602,0.8622,0.8622,0.8644
22,Ailerons,lower_is_better,,,,,0.00016437810724836662,0.00016327991954753535,,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
24,OnlineNewsPopularity,lower_is_better,,,,0.8663731151374302,0.8629847752035699,0.8631840454304366,,,0.8643,0.8665,0.8623,0.8615,0.8605,0.86,0.8629,0.8545,0.8546,0.8532,0.8677,0.8624,0.8651,0.8647,0.8579,0.8563
25,credit,higher_is_better,,,,0.7717021276595745,0.7722056737588653,0.7733262411347518,,,0.7735,0.7721,0.774,0.7748,0.7724,0.7739,0.7745,0.7698,0.7686,0.7734,0.773,0.7723,0.7739,0.7734,0.776,0.7761
26,elevators,lower_is_better,,,,,0.0020980420782292083,0.0019750650957008945,,,0.002,0.0019,0.0018,0.0019,0.0019,0.0018,0.0019,0.002,0.002,0.002,0.0049,0.0019,0.0019,0.0018,0.0018,0.0018
27,fifa,lower_is_better,,,,0.8019805734980721,0.794749778281243,0.7942196765080514,,,0.8038,0.8025,0.788,0.7936,0.7909,0.7901,0.7928,0.78,0.7806,0.7835,0.7902,0.7914,0.7967,0.7909,0.7953,0.7771
32,jannis,higher_is_better,,,,,0.7871705811004521,,,,0.784,0.7923,0.8027,0.7927,0.7954,0.7971,0.794,0.7967,0.7956,0.7985,0.7983,0.8051,0.7993,0.8068,0.808,0.8078
37,year,lower_is_better,,,,,9.040157299770536,9.026177336899963,,,8.9628,8.9658,8.9707,8.9589,9.0395,9.0248,9.0005,9.0307,9.02,9.037,9.0069,8.9721,8.9476,8.8973,8.8705,8.8737
38,sberbank-housing,lower_is_better,,,,0.24541105937166777,0.26454656907991025,0.2654332528859276,0.2798449329268059,,0.2529,,0.2509,,0.2533,0.2467,0.244,0.2419,0.2468,0.2482,0.282,0.2542,0.2593,0.2448,0.2439,0.2334
