,dataset,direction,MLP,ResNet,DCN2,SNN,Trompt,AutoInt,MLP-Mixer,Excel-plugins,SAINT,FT-T,T2G,MLP-periodic−lite,MLP-periodic,MLP-piecewiselinear,XGBoost,LightGBM,CatBoost,TabR,TabR-periodic,MNCA,MNCA-periodic,TabM-batch-shared,TabM,TabM-greedy,TabMmini,TabMmini-piecewiselinear,moe-sparse-piecewiselinear,moe-mini-sparse-shared-piecewiselinear,tabrmv2-piecewiselinear,tabrmv3-mini-periodic,tabrmoev3-periodic,tabrmv4-mini-periodic,tabrmv4-shared-periodic,tabrmoev4-periodic,tabrmoev4-drop-periodic
0,churn,higher_is_better,0.8553,0.8545,0.8567,0.8506,0.86,0.8607,0.8592,0.8618,0.8603,0.8593,0.8613,0.8624,0.8624,0.858,0.8605,0.86,0.8582,0.8599,0.8625,0.8595,0.8606,0.8613,0.8605,0.8609,0.8633,0.8606,0.8586,0.8554,0.8624,0.8444,0.8381,0.8606,0.857,0.8574,0.8562
2,house,lower_is_better,3.1117,3.1143,3.3327,3.2176,3.0638,3.2157,3.1871,3.246,3.2424,3.1823,3.1613,3.0633,3.0775,3.0999,3.1773,3.1774,3.1172,3.0667,3.1048,3.0884,3.0704,3.0002,3.0038,3.0082,3.0394,2.9976,3.2412,3.2337,3.1892,,,3.4223,3.4398,,
19,bank-marketing,higher_is_better,0.786,0.7921,0.7859,0.7836,0.7975,0.7917,0.7954,0.7957,0.7953,0.7918,0.7918,0.7947,0.7988,0.7981,0.8013,0.8006,0.8026,0.7995,0.8023,0.7961,0.7977,0.7908,0.7944,0.7935,0.7941,0.7989,,,0.7933,,,0.7957,0.7969,,
21,MagicTelescope,higher_is_better,0.8539,0.8589,0.8432,0.8536,0.8605,0.8522,0.8571,0.848,0.8595,0.8588,0.8553,0.8591,0.8575,0.8593,0.855,0.8547,0.8586,0.8682,0.8641,0.8602,0.8622,0.8607,0.8622,0.86,0.8606,0.8644,,,0.8359,,,0.8534,0.8565,,
24,OnlineNewsPopularity,lower_is_better,0.8643,0.8665,0.8714,0.8692,0.8623,0.8636,0.8615,0.8605,0.86,0.8629,0.8632,0.8604,0.8594,0.8585,0.8545,0.8546,0.8532,0.8677,0.8624,0.8651,0.8647,0.8584,0.8579,0.8579,0.8588,0.8563,,,0.8664,0.8678,,0.8631,0.8623,,
25,credit,higher_is_better,0.7735,0.7721,0.7703,0.7712,0.774,0.7737,0.7748,0.7724,0.7739,0.7745,0.7744,0.7749,0.7734,0.7758,0.7698,0.7686,0.7734,0.773,0.7723,0.7739,0.7734,0.7751,0.776,0.7754,0.7752,0.7761,,,0.7717,0.7587,,0.7695,0.7703,,
