,0
TabMmini-piecewiselinear,2.9782608695652173
TabM,5.086956521739131
MNCA-periodic,6.021739130434782
TabR-periodic,6.260869565217392
CatBoost,6.869565217391305
XGBoost,7.6521739130434785
LightGBM,7.956521739130435
MNCA,8.282608695652174
TabR,9.043478260869565
Trompt,9.173913043478262
FT-T,10.108695652173912
SAINT,10.847826086956522
Excel-plugins,11.978260869565217
MLP,12.717391304347826
MLP-Mixer,13.717391304347826
ResNet,15.152173913043478
tabrmv2-periodic,19.5
tabrmv2-mini-periodic,20.152173913043477
tabrmv2-piecewiselinear,20.52173913043478
tabrm-piecewiselinear,21.956521739130434
moe-mini-sparse-shared-piecewiselinear,22.02173913043478
moe-sparse-piecewiselinear,22.108695652173914
tabrmv3-mini-periodic,23.82608695652174
tabrmoev3-periodic,24.0
