,0
TabMmini-piecewiselinear,3.6666666666666665
TabM,7.722222222222222
TabMmini,7.888888888888889
MNCA-periodic,8.277777777777779
TabM-greedy,8.5
TabR-periodic,9.11111111111111
TabM-batch-shared,9.777777777777779
MLP-periodic,10.11111111111111
MLP-piecewiselinear,10.444444444444445
CatBoost,10.666666666666666
XGBoost,11.38888888888889
MLP-periodic−lite,11.833333333333334
LightGBM,12.333333333333334
Trompt,12.666666666666666
MNCA,12.944444444444445
TabR,13.555555555555555
T2G,14.055555555555555
SAINT,15.38888888888889
FT-T,16.5
Excel-plugins,17.11111111111111
tabrmv2-periodic,17.38888888888889
MLP-Mixer,17.666666666666668
tabrmv2-mini-periodic,19.27777777777778
AutoInt,20.055555555555557
ResNet,20.72222222222222
MLP,21.38888888888889
tabrmv2-piecewiselinear,21.61111111111111
SNN,24.27777777777778
DCN2,24.72222222222222
tabrm-piecewiselinear,25.833333333333332
