dataset,direction,MLP,ResNet,DCN2,SNN,Trompt,AutoInt,MLP-Mixer,Excel-plugins,SAINT,FT-T,T2G,MLP-periodic−lite,MLP-periodic,MLP-piecewiselinear,XGBoost,LightGBM,CatBoost,TabR,TabR-periodic,MNCA,MNCA-periodic,TabM-batch-shared,TabM,TabM-greedy,TabMmini,TabMmini-piecewiselinear,moe-sparse-piecewiselinear,moe-mini-sparse-shared-piecewiselinear,tabrm-piecewiselinear,tabrmv2-piecewiselinear,tabrmv2-periodic,tabrmv2-mini-periodic,tabrmv3-mini-periodic,tabrmoev3-periodic
churn,higher_is_better,0.8553,0.8545,0.8567,0.8506,0.8600,0.8607,0.8592,0.8618,0.8603,0.8593,0.8613,0.8624,0.8624,0.8580,0.8605,0.8600,0.8582,0.8599,0.8625,0.8595,0.8606,0.8613,0.8605,0.8609,0.8633,0.8606,0.8586,0.8554,0.8534,0.8624,0.8608,0.8601,0.8448,0.8138
california,lower_is_better,0.4948,0.4915,0.4971,0.5033,0.4579,0.4682,0.4746,0.4544,0.4680,0.4635,0.4640,0.4652,0.4597,0.4530,0.4327,0.4352,0.4294,0.4030,0.3998,0.4239,0.4142,0.4509,0.4414,0.4413,0.4479,0.4275,0.4682,0.4633,0.4604,0.4565,0.4634,0.4649,,
house,lower_is_better,3.1117,3.1143,3.3327,3.2176,3.0638,3.2157,3.1871,3.2460,3.2424,3.1823,3.1613,3.0633,3.0775,3.0999,3.1773,3.1774,3.1172,3.0667,3.1048,3.0884,3.0704,3.0002,3.0038,3.0082,3.0394,2.9976,3.2412,3.2337,3.1844,3.1892,3.2014,3.0866,,
adult,higher_is_better,0.8540,0.8554,0.8582,0.8582,0.8590,0.8592,0.8598,0.8613,0.8601,0.8588,0.8601,0.8693,0.8694,0.8603,0.8720,0.8713,0.8714,0.8646,0.8699,0.8677,0.8717,0.8582,0.8575,0.8572,0.8598,0.8700,0.8638,0.8637,0.8640,0.8628,0.8675,0.8673,,
diamond,lower_is_better,0.1404,0.1396,0.1420,0.1473,0.1391,0.1392,0.1400,0.1766,0.1369,0.1376,0.1372,0.1342,0.1337,0.1323,0.1368,0.1359,0.1335,0.1327,0.1333,0.1370,0.1327,0.1342,0.1310,0.1309,0.1323,0.1315,0.1340,0.1349,0.1361,0.1357,0.1371,,,
otto,higher_is_better,0.8175,0.8174,0.8064,0.8087,0.8093,0.8050,0.8092,0.8102,0.8119,0.8133,0.8161,0.8190,0.8189,0.8205,0.8297,0.8302,0.8250,0.8179,0.8246,0.8275,0.8265,0.8268,0.8275,0.8254,0.8282,0.8342,0.8037,0.8083,0.8113,,,,,
higgs-small,higher_is_better,0.7180,0.7256,0.7164,0.7142,0.7262,0.7240,0.7248,0.7262,0.7236,0.7281,0.7352,0.7260,0.7261,0.7210,0.7246,0.7256,0.7260,0.7223,0.7294,0.7263,0.7300,0.7383,0.7394,0.7392,0.7338,0.7361,0.7225,0.7171,0.7225,0.7172,0.7250,,,
black-friday,lower_is_better,0.6955,0.6929,0.6968,0.6996,0.6983,0.6994,0.6905,0.6947,0.6934,0.6987,0.6887,0.6849,0.6857,0.6836,0.6806,0.6799,0.6822,0.6899,0.6761,0.6893,0.6885,0.6875,0.6869,0.6865,0.6863,0.6781,0.6906,0.6879,0.6881,0.6858,0.6864,,,
covtype2,higher_is_better,0.9630,0.9638,0.9622,0.9636,0.9286,0.9614,0.9663,0.9606,0.9669,0.9698,0.9668,0.9690,0.9713,0.9697,0.9710,0.9709,0.9670,0.9737,0.9752,0.9724,0.9747,0.9712,0.9735,0.9730,0.9710,0.9755,0.9677,0.9666,0.9708,,,,,
microsoft,lower_is_better,0.7475,0.7472,0.7499,0.7488,0.7476,0.7482,0.7482,0.7479,0.7625,0.7460,0.7460,0.7446,0.7444,0.7465,0.7413,0.7417,0.7412,0.7503,0.7501,0.7458,0.7460,0.7434,0.7432,0.7432,0.7436,0.7423,0.7510,0.7499,,,,,,
wine,higher_is_better,0.7778,0.7710,0.7492,0.7818,0.7818,0.7745,0.7769,0.7631,0.7684,0.7755,0.7733,0.7803,0.7733,0.7814,0.7949,0.7890,0.7994,0.7936,0.7804,0.7911,0.7867,0.7961,0.7943,0.7879,0.7890,0.7839,,,,,,,,
phoneme,higher_is_better,0.8525,0.8456,0.8342,0.8596,0.8465,0.8623,0.8629,0.8551,0.8657,0.8667,0.8672,0.8742,0.8757,0.8647,0.8682,0.8702,0.8827,0.8781,0.8772,0.8835,0.8828,0.8701,0.8831,0.8762,0.8803,0.8780,,,,,,,,
analcatdata supreme,lower_is_better,0.0782,0.0852,0.0811,0.0826,0.0782,0.0783,0.0770,0.0796,0.0773,0.0787,0.0775,0.0798,0.0786,0.0774,0.0801,0.0778,0.0780,0.0803,0.0807,0.0809,0.0825,0.0777,0.0786,0.0808,0.0773,0.0764,,,,,,,,
