,0
TabR-periodic,4.333
 TabMmini-piecewiselinear,5.0
MNCA-periodic,7.5
TabMmini,8.5
MLP-periodic,9.667
TabM-greedy,10.0
CatBoost,10.0
XGBoost,10.333
LightGBM,10.5
TabM,10.833
MLP-periodic−lite,11.0
TabM-batch-shared,11.833
TabR,13.167
MNCA,13.333
tabrmv2-piecewiselinear,13.833
MLP-piecewiselinear,14.667
T2G,14.667
Excel-plugins,16.667
moe-sparse-piecewiselinear,18.667
tabrm-piecewiselinear,18.833
moe-mini-sparse-shared-piecewiselinear,19.0
Trompt,19.167
SAINT,19.667
FT-T,20.333
AutoInt,21.5
MLP-Mixer,21.667
ResNet,24.5
DCN2,26.833
MLP,27.167
SNN,28.833
