method,0
tabm-piecewiselinear,1.736842105263158
tabm-mini-piecewiselinear,1.7894736842105263
MNCA-periodic,1.894736842105263
tabpln-mini-piecewiselinear,1.9473684210526316
TabR-periodic,2.5789473684210527
TabR,2.6315789473684212
tabm,2.6315789473684212
CatBoost,2.6842105263157894
MNCA,2.8421052631578947
XGBoost,3.1052631578947367
MLP-piecewiselinear,3.210526315789474
LightGBM,3.263157894736842
T2G,3.5789473684210527
SAINT,3.8947368421052633
FT-T,4.052631578947368
Excel-plugins,4.473684210526316
MLP,4.578947368421052
