,0
TabMmini-piecewiselinear,4.0
TabM,5.7778
CatBoost,6.1111
MNCA-periodic,6.3333
TabR-periodic,6.4444
XGBoost,7.0
TabR,7.6667
MNCA,8.1111
LightGBM,8.7778
MLP-piecewiselinear,9.1111
reproduced-tabr-periodic,9.2222
T2G,9.7778
SAINT,10.2222
Excel-plugins,11.5556
FT-T,11.7778
MLP,13.3333
