,function,gpus,n_parameters,prediction_type,epoch_size,best_step,time,chunk_size,eval_batch_size,config.seed,config.batch_size,config.patience,config.n_epochs,config.gradient_clipping_norm,config.amp,config.data.cache,config.data.path,config.data.num_policy,config.data.cat_policy,config.optimizer.type,config.optimizer.lr,config.optimizer.weight_decay,config.model.arch_type,config.model.k,config.model.share_training_batches,config.model.backbone.type,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,metrics.train.rmse,metrics.train.mae,metrics.train.r2,metrics.train.score,metrics.val.rmse,metrics.val.mae,metrics.val.r2,metrics.val.score,metrics.test.rmse,metrics.test.mae,metrics.test.r2,metrics.test.score,metrics.train.0.precision,metrics.train.0.recall,metrics.train.0.f1-score,metrics.train.0.support,metrics.train.1.precision,metrics.train.1.recall,metrics.train.1.f1-score,metrics.train.1.support,metrics.train.accuracy,metrics.train.macro avg.precision,metrics.train.macro avg.recall,metrics.train.macro avg.f1-score,metrics.train.macro avg.support,metrics.train.weighted avg.precision,metrics.train.weighted avg.recall,metrics.train.weighted avg.f1-score,metrics.train.weighted avg.support,metrics.train.cross-entropy,metrics.train.roc-auc,metrics.val.0.precision,metrics.val.0.recall,metrics.val.0.f1-score,metrics.val.0.support,metrics.val.1.precision,metrics.val.1.recall,metrics.val.1.f1-score,metrics.val.1.support,metrics.val.accuracy,metrics.val.macro avg.precision,metrics.val.macro avg.recall,metrics.val.macro avg.f1-score,metrics.val.macro avg.support,metrics.val.weighted avg.precision,metrics.val.weighted avg.recall,metrics.val.weighted avg.f1-score,metrics.val.weighted avg.support,metrics.val.cross-entropy,metrics.val.roc-auc,metrics.test.0.precision,metrics.test.0.recall,metrics.test.0.f1-score,metrics.test.0.support,metrics.test.1.precision,metrics.test.1.recall,metrics.test.1.f1-score,metrics.test.1.support,metrics.test.accuracy,metrics.test.macro avg.precision,metrics.test.macro avg.recall,metrics.test.macro avg.f1-score,metrics.test.macro avg.support,metrics.test.weighted avg.precision,metrics.test.weighted avg.recall,metrics.test.weighted avg.f1-score,metrics.test.weighted avg.support,metrics.test.cross-entropy,metrics.test.roc-auc,metrics.train.2.precision,metrics.train.2.recall,metrics.train.2.f1-score,metrics.train.2.support,metrics.train.3.precision,metrics.train.3.recall,metrics.train.3.f1-score,metrics.train.3.support,metrics.train.4.precision,metrics.train.4.recall,metrics.train.4.f1-score,metrics.train.4.support,metrics.train.5.precision,metrics.train.5.recall,metrics.train.5.f1-score,metrics.train.5.support,metrics.train.6.precision,metrics.train.6.recall,metrics.train.6.f1-score,metrics.train.6.support,metrics.train.7.precision,metrics.train.7.recall,metrics.train.7.f1-score,metrics.train.7.support,metrics.train.8.precision,metrics.train.8.recall,metrics.train.8.f1-score,metrics.train.8.support,metrics.val.2.precision,metrics.val.2.recall,metrics.val.2.f1-score,metrics.val.2.support,metrics.val.3.precision,metrics.val.3.recall,metrics.val.3.f1-score,metrics.val.3.support,metrics.val.4.precision,metrics.val.4.recall,metrics.val.4.f1-score,metrics.val.4.support,metrics.val.5.precision,metrics.val.5.recall,metrics.val.5.f1-score,metrics.val.5.support,metrics.val.6.precision,metrics.val.6.recall,metrics.val.6.f1-score,metrics.val.6.support,metrics.val.7.precision,metrics.val.7.recall,metrics.val.7.f1-score,metrics.val.7.support,metrics.val.8.precision,metrics.val.8.recall,metrics.val.8.f1-score,metrics.val.8.support,metrics.test.2.precision,metrics.test.2.recall,metrics.test.2.f1-score,metrics.test.2.support,metrics.test.3.precision,metrics.test.3.recall,metrics.test.3.f1-score,metrics.test.3.support,metrics.test.4.precision,metrics.test.4.recall,metrics.test.4.f1-score,metrics.test.4.support,metrics.test.5.precision,metrics.test.5.recall,metrics.test.5.f1-score,metrics.test.5.support,metrics.test.6.precision,metrics.test.6.recall,metrics.test.6.f1-score,metrics.test.6.support,metrics.test.7.precision,metrics.test.7.recall,metrics.test.7.f1-score,metrics.test.7.support,metrics.test.8.precision,metrics.test.8.recall,metrics.test.8.f1-score,metrics.test.8.support,Dataset
388,bin.model.main,['NVIDIA A100-SXM4-80GB'],379904,probs,98,10584,0:01:25.442868,,32768,9,512,16,-1,1.0,True,True,data/classif-cat-large-0-road-safety,noisy-quantile,ordinal,AdamW,0.0018998402308727383,0.0,tabm,32,False,MLP,4,288,0.21495725584142195,,,,0.8536,,,,0.7975496545768567,,,,0.7938890687884536,0.8854211756557874,0.8140321553645335,0.8482272444536595,25128.0,0.8262696111235036,0.8935751045352204,0.8586053699053506,24872.0,0.8536,0.8558453933896455,0.853803629949877,0.8534163071795051,50000.0,0.8559968213948481,0.8536,0.8533897391783487,50000.0,0.3116322920830741,0.9444149100702186,0.8231418333140678,0.7622564761293085,0.7915300394597898,9342.0,0.7751341500455604,0.8334421946440235,0.8032313906520485,9186.0,0.7975496545768567,0.799137991679814,0.797849335386666,0.7973807150559191,18528.0,0.7993400965640404,0.7975496545768567,0.7973314541862626,18528.0,0.38702774838874887,0.8959411779292561,0.8160396440129449,0.7537247209378357,0.7836453249811834,21411.0,0.7752152783698525,0.8332951473216331,0.8032066429628322,21823.0,0.7938890687884536,0.7956274611913987,0.7935099341297345,0.7934259839720078,43234.0,0.7954329425412048,0.7938890687884536,0.7935191891231439,43234.0,0.3916900612583108,0.8927407558161092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,road-safety
389,bin.model.main,['NVIDIA A100-SXM4-80GB'],379904,probs,98,6370,0:00:56.126135,,32768,4,512,16,-1,1.0,True,True,data/classif-cat-large-0-road-safety,noisy-quantile,ordinal,AdamW,0.0018998402308727383,0.0,tabm,32,False,MLP,4,288,0.21495725584142195,,,,0.8193,,,,0.7983052677029361,,,,0.7956932044224453,0.8398445749039152,0.7913482967207895,0.814875525048663,25128.0,0.8008205751624055,0.8475394017368929,0.8235179216720382,24872.0,0.8193,0.8203325750331603,0.8194438492288412,0.8191967233603505,50000.0,0.8204324764724987,0.8193,0.8191745988249948,50000.0,0.3517912879220974,0.9171137439865304,0.814640170652296,0.7767073431813316,0.7952216559811497,9342.0,0.7831826213491321,0.8202699760505117,0.8012973892699526,9186.0,0.7983052677029361,0.798911396000714,0.7984886596159216,0.7982595226255511,18528.0,0.7990438273935059,0.7983052677029361,0.7982339447328197,18528.0,0.38385252845099943,0.8971325462317976,0.8084657641750049,0.76983793377236,0.7886791550037082,21411.0,0.7842948437363214,0.821060349172891,0.8022565985358973,21823.0,0.7956932044224453,0.7963803039556632,0.7954491414726255,0.7954678767698027,43234.0,0.7962651351160839,0.7956932044224453,0.7955325701446381,43234.0,0.38734030536587594,0.8948087822275306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,road-safety
390,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,4104,0:00:18.083566,,32768,7,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.00012130164674222992,9.012222290039062e-05,0.9122789755951369,-0.00012130164674222992,0.00014855417731242165,0.00010947442206088454,0.8447314185151688,-0.00014855417731242165,0.00015395753982169112,0.00011152379011036828,0.8620307999275149,-0.00015395753982169112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
391,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,3268,0:00:14.890524,,32768,6,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.00012899944110126806,9.498367580818012e-05,0.900792162798508,-0.00012899944110126806,0.0001490774783951252,0.00010996500350302085,0.8436355795562819,-0.0001490774783951252,0.0001539321484339688,0.00011158150300616398,0.8620762954365913,-0.0001539321484339688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
392,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,4104,0:00:18.341992,,32768,5,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.00012359555959999966,9.177299943985417e-05,0.9089298481070699,-0.00012359555959999966,0.00014899976802486387,0.00010933654994005337,0.8437985584413298,-0.00014899976802486387,0.00015367978388487516,0.00011161186557728797,0.8625281608439808,-0.00015367978388487516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
393,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,3534,0:00:15.947903,,32768,11,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.00012665508766121099,9.388399485033005e-05,0.9043652794986535,-0.00012665508766121099,0.00014884237573510936,0.00010988241410814226,0.8441283903289647,-0.00014884237573510936,0.0001537109375243777,0.00011194699618499726,0.8624724187699433,-0.0001537109375243777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
394,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,3534,0:00:15.893535,,32768,2,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.00012520974661348814,9.302123362431303e-05,0.906535515502785,-0.00012520974661348814,0.00014867592790530237,0.00010946954716928303,0.8444768088915626,-0.00014867592790530237,0.0001529760843063214,0.00011131723294965923,0.8637842563112055,-0.0001529760843063214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
395,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,2736,0:00:12.880800,,32768,14,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.0001312346002347988,9.725306881591678e-05,0.8973244491129073,-0.0001312346002347988,0.00014825743917982418,0.00010971129813697189,0.8453510970767779,-0.00014825743917982418,0.0001539730691405457,0.00011253196134930477,0.8620029525958286,-0.0001539730691405457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
396,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,3534,0:00:16.076147,,32768,10,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.00012565933569844617,9.305160347139463e-05,0.9058631078337256,-0.00012565933569844617,0.00014848185786051958,0.00010929993004538119,0.8448825610269887,-0.00014848185786051958,0.00015351416078755677,0.0001117274587159045,0.8628243044088784,-0.00015351416078755677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
397,bin.model.main,['NVIDIA A100-SXM4-80GB'],1115744,labels,38,2964,0:00:13.821029,,32768,8,256,16,-1,1.0,True,True,data/regression-num-medium-2-Ailerons,noisy-quantile,,AdamW,0.0009447867464490044,0.07794815667000624,tabm,32,False,MLP,4,544,0.2559269847636612,0.00013101169393575702,9.682477684691548e-05,0.8976729590786839,-0.00013101169393575702,0.00014915952493928022,0.00011013382027158514,0.8434634221402104,-0.00014915952493928022,0.00015364348490564284,0.0001120004162658006,0.862593094310377,-0.00015364348490564284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailerons
