Dataset,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.optimizer.lr,config.optimizer.weight_decay,config.model.backbone.k,config.model.backbone.moe_ratio,config.model.backbone.num_experts,has_dropout,has_weight_decay
adult,1.0,800.0,0.0,0.002487330913292711,0.002469504308908837,4.0,0.25,64.0,0.0,1.0
black-friday,3.0,1024.0,0.3532238774988441,0.0003741051898750371,0.06547053160600506,4.0,0.5,32.0,1.0,1.0
california,2.0,896.0,0.0,0.0007703923649505891,0.0,10.0,0.5,16.0,0.0,0.0
covtype2,3.0,1024.0,0.332376578812929,0.002777417222663995,0.000292500437180564,10.0,0.75,32.0,1.0,1.0
diamond,4.0,96.0,0.0,0.0005877582394077947,0.0,9.0,0.75,48.0,0.0,0.0
higgs-small,1.0,176.0,0.31506940390592375,0.00018668344411615267,0.0021297117742477634,8.0,0.25,48.0,1.0,1.0
house,1.0,528.0,0.23930025919581674,0.00010898234716382562,0.0,5.0,0.5,48.0,1.0,0.0
otto,2.0,944.0,0.33600479893579,0.00021615121346388409,0.00016092651070671675,3.0,0.75,64.0,1.0,1.0
AVERAGE,2.125,686.0,0.19699686479366293,0.0009386026168667486,0.00881539682963112,6.625,0.53125,44.0,0.625,0.625
