,function,gpus,n_parameters,prediction_type,epoch_size,best_step,time,chunk_size,eval_batch_size,config.seed,config.batch_size,config.patience,config.n_epochs,config.gradient_clipping_norm,config.amp,config.data.cache,config.data.path,config.data.num_policy,config.data.cat_policy,config.optimizer.type,config.optimizer.lr,config.optimizer.weight_decay,config.model.arch_type,config.model.k,config.model.share_training_batches,config.model.backbone.type,config.model.backbone.n_blocks,config.model.backbone.d_block,config.model.backbone.dropout,config.model.num_embeddings.type,config.model.num_embeddings.d_embedding,config.bins.n_bins,metrics.train.rmse,metrics.train.mae,metrics.train.r2,metrics.train.score,metrics.val.rmse,metrics.val.mae,metrics.val.r2,metrics.val.score,metrics.test.rmse,metrics.test.mae,metrics.test.r2,metrics.test.score,metrics.train.0.precision,metrics.train.0.recall,metrics.train.0.f1-score,metrics.train.0.support,metrics.train.1.precision,metrics.train.1.recall,metrics.train.1.f1-score,metrics.train.1.support,metrics.train.accuracy,metrics.train.macro avg.precision,metrics.train.macro avg.recall,metrics.train.macro avg.f1-score,metrics.train.macro avg.support,metrics.train.weighted avg.precision,metrics.train.weighted avg.recall,metrics.train.weighted avg.f1-score,metrics.train.weighted avg.support,metrics.train.cross-entropy,metrics.train.roc-auc,metrics.val.0.precision,metrics.val.0.recall,metrics.val.0.f1-score,metrics.val.0.support,metrics.val.1.precision,metrics.val.1.recall,metrics.val.1.f1-score,metrics.val.1.support,metrics.val.accuracy,metrics.val.macro avg.precision,metrics.val.macro avg.recall,metrics.val.macro avg.f1-score,metrics.val.macro avg.support,metrics.val.weighted avg.precision,metrics.val.weighted avg.recall,metrics.val.weighted avg.f1-score,metrics.val.weighted avg.support,metrics.val.cross-entropy,metrics.val.roc-auc,metrics.test.0.precision,metrics.test.0.recall,metrics.test.0.f1-score,metrics.test.0.support,metrics.test.1.precision,metrics.test.1.recall,metrics.test.1.f1-score,metrics.test.1.support,metrics.test.accuracy,metrics.test.macro avg.precision,metrics.test.macro avg.recall,metrics.test.macro avg.f1-score,metrics.test.macro avg.support,metrics.test.weighted avg.precision,metrics.test.weighted avg.recall,metrics.test.weighted avg.f1-score,metrics.test.weighted avg.support,metrics.test.cross-entropy,metrics.test.roc-auc,metrics.train.2.precision,metrics.train.2.recall,metrics.train.2.f1-score,metrics.train.2.support,metrics.train.3.precision,metrics.train.3.recall,metrics.train.3.f1-score,metrics.train.3.support,metrics.train.4.precision,metrics.train.4.recall,metrics.train.4.f1-score,metrics.train.4.support,metrics.train.5.precision,metrics.train.5.recall,metrics.train.5.f1-score,metrics.train.5.support,metrics.train.6.precision,metrics.train.6.recall,metrics.train.6.f1-score,metrics.train.6.support,metrics.train.7.precision,metrics.train.7.recall,metrics.train.7.f1-score,metrics.train.7.support,metrics.train.8.precision,metrics.train.8.recall,metrics.train.8.f1-score,metrics.train.8.support,metrics.val.2.precision,metrics.val.2.recall,metrics.val.2.f1-score,metrics.val.2.support,metrics.val.3.precision,metrics.val.3.recall,metrics.val.3.f1-score,metrics.val.3.support,metrics.val.4.precision,metrics.val.4.recall,metrics.val.4.f1-score,metrics.val.4.support,metrics.val.5.precision,metrics.val.5.recall,metrics.val.5.f1-score,metrics.val.5.support,metrics.val.6.precision,metrics.val.6.recall,metrics.val.6.f1-score,metrics.val.6.support,metrics.val.7.precision,metrics.val.7.recall,metrics.val.7.f1-score,metrics.val.7.support,metrics.val.8.precision,metrics.val.8.recall,metrics.val.8.f1-score,metrics.val.8.support,metrics.test.2.precision,metrics.test.2.recall,metrics.test.2.f1-score,metrics.test.2.support,metrics.test.3.precision,metrics.test.3.recall,metrics.test.3.f1-score,metrics.test.3.support,metrics.test.4.precision,metrics.test.4.recall,metrics.test.4.f1-score,metrics.test.4.support,metrics.test.5.precision,metrics.test.5.recall,metrics.test.5.f1-score,metrics.test.5.support,metrics.test.6.precision,metrics.test.6.recall,metrics.test.6.f1-score,metrics.test.6.support,metrics.test.7.precision,metrics.test.7.recall,metrics.test.7.f1-score,metrics.test.7.support,metrics.test.8.precision,metrics.test.8.recall,metrics.test.8.f1-score,metrics.test.8.support,Dataset
10,bin.model.main,['NVIDIA A100-SXM4-80GB'],108512,labels,68,7480,0:00:36.120292,,32768,0,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.002170810958387239,0.040882091073906904,tabm,32,False,MLP,4,112,0.0,PiecewiseLinearEmbeddingsV2,16,114,0.12014526333700425,0.06374082714319229,0.9854969623479974,-0.12014526333700425,0.12629555819720573,0.06630536913871765,0.984419068228673,-0.12629555819720573,0.12999132112500575,0.06643503904342651,0.9830344016663078,-0.12999132112500575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
11,bin.model.main,['NVIDIA A100-SXM4-80GB'],108512,labels,68,6392,0:00:31.801730,,32768,13,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.002170810958387239,0.040882091073906904,tabm,32,False,MLP,4,112,0.0,PiecewiseLinearEmbeddingsV2,16,114,0.1226784435469811,0.0643809363245964,0.9848789423148144,-0.1226784435469811,0.1269111930849197,0.06617086380720139,0.9842667971503808,-0.1269111930849197,0.1302719024613518,0.06653039902448654,0.9829610837344569,-0.1302719024613518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
12,bin.model.main,['NVIDIA A100-SXM4-80GB'],108512,labels,68,6800,0:00:36.820553,,32768,1,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.002170810958387239,0.040882091073906904,tabm,32,False,MLP,4,112,0.0,PiecewiseLinearEmbeddingsV2,16,114,0.12103695460447494,0.0636107474565506,0.985280887140406,-0.12103695460447494,0.12652220584968304,0.06583461910486221,0.9843630972519176,-0.12652220584968304,0.1305388681934364,0.06633473932743073,0.9828911756632495,-0.1305388681934364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
13,bin.model.main,['NVIDIA A100-SXM4-80GB'],108512,labels,68,4352,0:00:22.855181,,32768,9,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.002170810958387239,0.040882091073906904,tabm,32,False,MLP,4,112,0.0,PiecewiseLinearEmbeddingsV2,16,114,0.12386956769905373,0.06491000205278397,0.9845838867216993,-0.12386956769905373,0.12742084761204797,0.06656928360462189,0.9841401795125837,-0.12742084761204797,0.13028219671127308,0.06662528961896896,0.9829583896920534,-0.13028219671127308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
14,bin.model.main,['NVIDIA A100-SXM4-80GB'],108512,labels,68,4624,0:00:22.658785,,32768,4,512,16,-1,1.0,True,True,data/diamond,noisy-quantile,ordinal,AdamW,0.002170810958387239,0.040882091073906904,tabm,32,False,MLP,4,112,0.0,PiecewiseLinearEmbeddingsV2,16,114,0.12320185921913189,0.06514016538858414,0.9847496382212312,-0.12320185921913189,0.12732179370530453,0.06688640266656876,0.9841648293159093,-0.12732179370530453,0.1303088507495801,0.06697554886341095,0.9829514169816858,-0.1303088507495801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamond
15,bin.model.main,['NVIDIA A100-SXM4-80GB'],162272,labels,209,29051,0:01:51.307902,,32768,7,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.0008223067222420459,0.004292830068500094,tabm,32,False,MLP,1,976,0.0,PiecewiseLinearEmbeddingsV2,12,70,0.6425388173426322,0.4965040683746338,0.5864439602105604,-0.6425388173426322,0.676053229489261,0.5214503407478333,0.5416508128658561,-0.676053229489261,0.6769463522825966,0.5236697196960449,0.5452037940491412,-0.6769463522825966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
16,bin.model.main,['NVIDIA A100-SXM4-80GB'],162272,labels,209,30932,0:02:00.657814,,32768,6,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.0008223067222420459,0.004292830068500094,tabm,32,False,MLP,1,976,0.0,PiecewiseLinearEmbeddingsV2,12,70,0.6439423153465899,0.4974938631057739,0.5846352512804043,-0.6439423153465899,0.6770059370163728,0.5218970775604248,0.5403580410853668,-0.6770059370163728,0.6776411668516304,0.5240741968154907,0.5442697267771196,-0.6776411668516304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
17,bin.model.main,['NVIDIA A100-SXM4-80GB'],162272,labels,209,25080,0:01:37.833088,,32768,5,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.0008223067222420459,0.004292830068500094,tabm,32,False,MLP,1,976,0.0,PiecewiseLinearEmbeddingsV2,12,70,0.6426865738369854,0.49636128544807434,0.5862537369445572,-0.6426865738369854,0.6762600123427551,0.5212152600288391,0.541370391359825,-0.6762600123427551,0.6774388309257688,0.5235893130302429,0.5445418428773099,-0.6774388309257688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
18,bin.model.main,['NVIDIA A100-SXM4-80GB'],162272,labels,209,25916,0:01:43.528049,,32768,11,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.0008223067222420459,0.004292830068500094,tabm,32,False,MLP,1,976,0.0,PiecewiseLinearEmbeddingsV2,12,70,0.6450714852766471,0.4980293810367584,0.5831772893493274,-0.6450714852766471,0.6761662483532165,0.5214428901672363,0.5414975634198577,-0.6761662483532165,0.6768210465475217,0.5230228304862976,0.545372134521333,-0.6768210465475217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
19,bin.model.main,['NVIDIA A100-SXM4-80GB'],162272,labels,209,28215,0:01:48.310124,,32768,2,512,16,-1,1.0,True,True,data/black-friday,noisy-quantile,ordinal,AdamW,0.0008223067222420459,0.004292830068500094,tabm,32,False,MLP,1,976,0.0,PiecewiseLinearEmbeddingsV2,12,70,0.6449322695619374,0.4981592297554016,0.583357196188505,-0.6449322695619374,0.6762625022550437,0.5215862989425659,0.5413670264562319,-0.6762625022550437,0.6766514329847608,0.5231629610061646,0.5455999896286199,-0.6766514329847608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-friday
